iter	Passed	Remaining
0	56	56253
1	56	28219
2	56	18857
3	56	14184
4	57	11375
5	57	9504
6	57	8171
7	57	7176
8	58	6395
9	58	5769
10	58	5257
11	58	4834
12	58	4475
13	59	4168
14	59	3901
15	59	3665
16	59	3459
17	60	3279
18	60	3115
19	60	2967
20	60	2833
21	60	2710
22	61	2598
23	61	2495
24	61	2402
25	61	2315
26	61	2233
27	62	2158
28	62	2089
29	62	2024
30	62	1962
31	62	1905
32	63	1851
33	63	1801
34	63	1753
35	63	1707
36	63	1665
37	64	1624
38	64	1585
39	64	1549
40	64	1514
41	64	1481
42	65	1451
43	65	1421
44	65	1392
45	65	1365
46	66	1340
47	66	1315
48	66	1291
49	66	1268
50	66	1246
51	67	1225
52	67	1204
53	67	1183
54	67	1164
55	67	1145
56	68	1128
57	68	1112
58	68	1095
59	68	1078
60	69	1063
61	69	1048
62	69	1033
63	69	1018
64	69	1005
65	70	991
66	70	978
67	70	964
68	70	951
69	70	940
70	70	928
71	71	916
72	71	905
73	71	895
74	71	884
75	71	874
76	72	864
77	72	855
78	72	845
79	72	836
80	72	827
81	73	818
82	73	810
83	73	801
84	73	792
85	73	783
86	73	775
87	74	767
88	74	760
89	74	753
90	74	745
91	74	738
92	75	731
93	75	724
94	75	718
95	75	711
96	75	705
97	75	699
98	76	693
99	76	687
100	76	681
101	76	674
102	76	668
103	76	663
104	77	657
105	77	652
106	77	646
107	77	641
108	77	636
109	78	631
110	78	626
111	78	621
112	78	616
113	78	612
114	79	608
115	79	603
116	79	598
117	79	594
118	79	589
119	79	585
120	80	581
121	80	578
122	80	573
123	80	569
124	80	566
125	81	562
126	81	558
127	81	553
128	81	550
129	81	547
130	81	543
131	82	540
132	82	536
133	82	533
134	82	529
135	82	526
136	83	523
137	83	519
138	83	516
139	83	513
140	83	510
141	83	507
142	84	504
143	84	501
144	84	498
145	84	495
146	84	492
147	85	489
148	85	487
149	85	484
150	85	481
151	85	479
152	86	476
153	86	473
154	86	471
155	86	468
156	86	466
157	87	463
158	87	461
159	87	458
160	87	456
161	87	453
162	87	451
163	88	449
164	88	447
165	88	444
166	88	442
167	88	440
168	89	438
169	89	436
170	89	433
171	89	431
172	89	429
173	90	427
174	90	425
175	90	423
176	90	421
177	90	419
178	91	417
179	91	415
180	91	413
181	91	411
182	91	409
183	91	407
184	92	405
185	92	404
186	92	402
187	92	400
188	92	398
189	93	396
190	93	395
191	93	393
192	93	391
193	93	389
194	94	388
195	94	386
196	94	384
197	94	382
198	94	381
199	94	379
200	95	378
201	95	376
202	95	374
203	95	373
204	95	372
205	96	370
206	96	369
207	96	367
208	96	366
209	96	364
210	97	363
211	97	362
212	97	360
213	97	359
214	98	358
215	98	356
216	98	355
217	98	353
218	98	352
219	98	350
220	99	349
221	99	348
222	99	346
223	99	345
224	99	344
225	100	343
226	100	341
227	100	340
228	100	339
229	100	337
230	101	336
231	101	335
232	101	334
233	101	332
234	101	331
235	102	330
236	102	329
237	102	328
238	102	326
239	102	325
240	103	324
241	103	323
242	103	322
243	103	321
244	103	320
245	104	319
246	104	317
247	104	316
248	104	315
249	104	314
250	105	313
251	105	312
