iter	Passed	Remaining
0	59	59783
1	60	29991
2	60	20045
3	60	15071
4	60	12086
5	60	10096
6	61	8678
7	61	7613
8	61	6783
9	61	6127
10	62	5583
11	62	5128
12	62	4743
13	62	4414
14	62	4129
15	63	3880
16	63	3661
17	63	3468
18	63	3293
19	63	3135
20	64	2992
21	64	2861
22	64	2742
23	64	2633
24	65	2535
25	65	2444
26	65	2358
27	65	2279
28	65	2205
29	66	2136
30	66	2071
31	66	2010
32	66	1954
33	66	1900
34	67	1849
35	67	1802
36	67	1757
37	67	1716
38	68	1676
39	68	1638
40	68	1603
41	68	1568
42	68	1534
43	69	1502
44	69	1472
45	69	1443
46	69	1415
47	69	1388
48	70	1362
49	70	1337
50	70	1313
51	70	1290
52	70	1268
53	71	1247
54	71	1226
55	71	1206
56	71	1187
57	71	1168
58	72	1150
59	72	1133
60	72	1116
61	72	1101
62	73	1085
63	73	1070
64	73	1056
65	73	1042
66	73	1028
67	74	1014
68	74	1001
69	74	988
70	74	976
71	74	964
72	74	952
73	75	940
74	75	929
75	75	918
76	75	908
77	75	897
78	76	887
79	76	877
80	76	868
81	76	858
82	76	848
83	76	839
84	77	831
85	77	822
86	77	814
87	77	806
88	78	798
89	78	790
90	78	783
91	78	775
92	78	768
93	78	761
94	79	753
95	79	747
96	79	740
97	79	734
98	79	727
99	80	721
100	80	714
101	80	708
102	80	703
103	81	697
104	81	692
105	81	686
106	81	681
107	81	675
108	82	670
109	82	665
110	82	659
111	82	655
112	82	649
113	82	644
114	83	640
115	83	635
116	83	630
117	83	625
118	83	620
119	84	616
120	84	612
121	84	607
122	84	602
123	84	598
124	84	594
125	85	590
126	85	585
127	85	581
128	85	578
129	85	574
130	86	570
131	86	567
132	86	563
133	86	560
134	86	556
135	87	553
136	87	549
137	87	545
138	87	542
139	87	540
140	88	537
141	88	533
142	88	531
143	88	528
144	89	525
145	89	523
146	89	520
147	89	517
148	90	514
149	90	511
150	90	508
151	90	505
152	90	503
153	91	500
154	91	497
155	91	494
156	91	491
157	91	489
158	92	486
159	92	484
160	92	481
161	92	478
162	92	476
163	92	473
164	93	471
165	93	468
166	93	466
167	93	463
168	93	461
169	94	459
170	94	456
171	94	454
172	94	452
173	94	450
174	95	448
175	95	446
176	95	443
177	95	441
178	95	439
179	96	437
180	96	435
181	96	433
182	96	431
183	96	429
184	97	427
185	97	425
186	97	423
187	97	421
188	97	419
189	98	417
190	98	415
191	98	413
192	98	412
193	98	410
194	99	409
195	99	407
196	99	405
197	99	403
198	99	402
199	100	400
200	100	398
201	100	397
202	100	395
203	100	393
204	101	392
205	101	390
206	101	389
207	101	387
208	102	386
209	102	384
210	102	383
211	102	381
212	102	380
213	103	378
214	103	376
215	103	375
216	103	373
217	103	372
218	104	371
219	104	369
220	104	368
221	104	367
222	104	365
223	105	364
224	105	362
225	105	361
226	105	359
227	105	358
228	106	356
229	106	355
230	106	354
231	106	352
232	106	351
233	106	349
234	107	348
235	107	347
236	107	346
237	107	344
238	107	343
239	108	342
240	108	340
241	108	339
242	108	338
243	108	336
244	108	335
245	109	334
246	109	333
247	109	331
248	109	330
249	109	329
250	110	328
251	110	327
252	110	325
253	110	324
254	110	323
255	110	322
256	111	321
257	111	320
258	111	318
259	111	317
260	111	316
261	112	315
262	112	314
263	112	313
264	112	312
265	112	311
266	112	309
267	113	308
268	113	307
269	113	306
270	113	305
271	113	304
272	114	303
273	114	302
274	114	301
275	114	300
276	114	299
277	115	298
278	115	297
279	115	296
280	115	295
281	115	294
282	116	294
283	116	293
284	116	292
285	116	291
286	116	290
287	117	289
288	117	288
289	117	287
290	117	287
291	117	286
292	118	285
293	118	284
294	118	283
295	118	282
296	118	281
297	119	280
298	119	279
299	119	278
300	119	278
301	119	277
302	120	276
303	120	275
304	120	274
305	121	275
306	121	274
307	121	273
308	121	272
309	122	271
310	122	270
311	122	269
312	122	268
313	122	268
314	122	267
315	123	266
316	123	265
317	123	264
318	123	264
319	123	263
320	124	262
321	124	261
322	124	260
323	124	260
324	124	259
325	124	258
326	125	257
327	125	256
328	125	255
329	125	255
330	125	254
331	126	253
332	126	252
333	126	252
334	126	251
335	126	250
336	127	249
337	127	249
338	127	248
339	127	247
340	127	246
341	127	246
342	128	245
343	128	244
344	128	243
345	128	243
346	128	242
347	129	241
348	129	241
349	129	240
350	129	239
351	129	238
352	129	238
353	130	237
354	130	236
355	130	235
356	130	235
357	130	234
358	130	233
359	131	233
360	131	232
361	131	231
362	131	231
363	131	230
364	132	229
365	132	229
366	132	228
367	132	228
368	133	227
369	133	227
370	133	226
371	133	225
372	134	225
373	134	224
374	134	223
375	134	223
376	134	222
377	134	222
378	135	221
379	135	220
380	135	220
381	136	220
382	136	219
383	136	219
384	137	219
385	137	218
386	137	218
387	138	217
388	138	217
389	138	217
390	139	216
391	139	216
392	139	215
393	139	215
394	140	214
395	140	214
396	140	213
397	140	213
398	141	212
399	141	212
400	141	211
401	141	210
402	142	210
403	142	209
404	142	209
405	142	208
406	142	208
407	143	207
408	143	207
409	143	206
410	143	205
411	143	205
412	144	204
413	144	204
414	144	203
415	144	203
416	144	202
417	145	201
418	145	201
419	145	200
420	145	200
421	145	199
422	146	199
423	146	198
424	146	198
425	146	197
426	146	197
427	147	196
428	147	196
429	147	195
430	147	195
431	147	194
432	148	194
433	148	193
434	148	193
435	148	192
436	148	191
437	149	191
438	149	190
439	149	190
440	149	189
441	149	189
442	150	188
443	150	188
444	150	187
445	150	187
446	150	186
447	151	186
448	151	185
449	151	185
450	151	184
451	151	184
452	152	183
453	152	183
454	152	182
455	152	182
456	152	181
457	153	181
458	153	180
459	153	180
460	153	179
461	153	179
462	154	178
463	154	178
464	154	177
465	154	177
466	154	176
467	154	176
468	155	175
469	155	175
470	155	174
471	155	174
472	155	173
473	156	173
474	156	172
475	156	172
